codigo_ocorrencia;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
50792;50792;ACIDENTE;CAMPO;GRANDE;BRASIL;****;21/01/2014;2014-08-22
51141;51141;INCIDENTE;JUNDIAÍ;SP;SBJD;21/01/2014;21:00:00;0
51418;51418;INCIDENTE;-49.7141666667;JOSÉ;SP;BRASIL;****;NÃO
51142;51142;INCIDENTE;SÃO;PAULO;BRASIL;SBSP;22/01/2014;NULL
51143;51143;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;22/01/2014;NULL
51144;51144;INCIDENTE;RECIFE;PE;SBRF;23/01/2014;09:50:00;0
51145;51145;INCIDENTE;MUCURI;BA;SNMU;23/01/2014;17:15:00;0
51146;51146;INCIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
51147;51147;INCIDENTE;CAXIAS;DO;RS;BRASIL;SBCX;NÃO
51148;51148;INCIDENTE;FLORIANÓPOLIS;SC;SBFL;24/01/2014;11:00:00;0
51419;51419;ACIDENTE;BOTUCATU;SP;****;24/01/2014;15:15:00;0
51149;51149;INCIDENTE;RIO;DE;RJ;BRASIL;****;NÃO
51151;51151;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;26/01/2014;NULL
51153;51153;INCIDENTE;PIRACICABA;SP;SDPW;26/01/2014;14:04:00;0
50794;50794;ACIDENTE;TURMALINA;MG;****;27/01/2014;08:20:00;0
51154;51154;INCIDENTE;PORTO;ALEGRE;BRASIL;SBPA;27/01/2014;NULL
51768;51768;INCIDENTE;BRASÍLIA;DF;SBBR;27/01/2014;01:00:00;0
51155;51155;INCIDENTE;VITÓRIA;ES;SBVT;28/01/2014;18:40:00;0
50797;50797;ACIDENTE;CACHOEIRA;DO;RS;BRASIL;SSKS;SIM
51015;51015;INCIDENTE;-46.2997222222;GUARUJÁ;BRASIL;SBST;29/01/2014;2016-04-22
51156;51156;INCIDENTE;GOIÂNIA;GO;SBGO;30/01/2014;12:39:00;0
51157;51157;INCIDENTE;FORTALEZA;CE;SBFZ;30/01/2014;10:10:00;0
51158;51158;INCIDENTE;RIO;BRANCO;BRASIL;SBRB;30/01/2014;NULL
51420;51420;ACIDENTE;ITANHAÉM;SP;****;30/01/2014;20:40:00;0
50799;50799;ACIDENTE;UNAÍ;MG;SNUN;31/01/2014;10:30:00;0
51159;51159;INCIDENTE;GOIÂNIA;GO;SBGO;31/01/2014;20:37:00;0
51160;51160;INCIDENTE;LONDRINA;PR;SSOK;31/01/2014;13:30:00;0
51161;51161;INCIDENTE;FORTALEZA;CE;SNWC;31/01/2014;12:45:00;0
53150;53150;ACIDENTE;MOGI;MIRIM;BRASIL;SDMJ;31/01/2014;NULL
50800;50800;ACIDENTE;SANTO;ANTÔNIO;LEVERGER;MT;BRASIL;A-023/CENIPA/2014
50801;50801;ACIDENTE;SOROCABA;SP;SDCO;01/02/2014;15:30:00;0
51074;51074;INCIDENTE;COARI;AM;****;01/02/2014;19:16:00;0
51421;51421;INCIDENTE;ATIBAIA;SP;SDTB;01/02/2014;20:00:00;0
51162;51162;INCIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
51163;51163;INCIDENTE;SÃO;JOÃO;POLÊSINE;RS;BRASIL;***
51052;51052;INCIDENTE;-47.5855555556;BATATAIS;BRASIL;SDBA;04/02/2014;2014-10-01
51164;51164;INCIDENTE;MACAÉ;RJ;SBME;04/02/2014;11:30:00;0
50802;50802;ACIDENTE;GARUVA;SC;****;05/02/2014;10:00:00;1
51165;51165;INCIDENTE;GUARULHOS;SP;SBGR;05/02/2014;13:00:00;0
51179;51179;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;05/02/2014;NULL
51181;51181;INCIDENTE;CURITIBA;PR;****;05/02/2014;19:00:00;0
51053;51053;INCIDENTE;\t-55.42555556\t;ALEGRETE;BRASIL;****;06/02/2014;2015-07-21
51182;51182;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
50803;50803;ACIDENTE;SILVÂNIA;GO;SWLV;07/02/2014;13:10:00;0
51075;51075;INCIDENTE;FORTALEZA;CE;SBFZ;07/02/2014;21:55:00;1
50804;50804;ACIDENTE;PALMAS;TO;****;09/02/2014;13:30:00;0
50805;50805;ACIDENTE;REDENÇÃO;PA;****;09/02/2014;12:12:00;0
51054;51054;INCIDENTE;\t-52.01222222\t;MARINGÁ;BRASIL;SBMG;09/02/2014;2014-08-22
51076;51076;INCIDENTE;UBERLÂNDIA;MG;SBUL;09/02/2014;18:12:00;0
51077;51077;INCIDENTE;PORTO;ALEGRE;BRASIL;SBPA;09/02/2014;NULL
51185;51185;INCIDENTE;FLORIANÓPOLIS;SC;****;09/02/2014;00:20:00;0
51186;51186;INCIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
51189;51189;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
51211;51211;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;SBRP;10/02/2014;NULL
51258;51258;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;11/02/2014;NULL
50806;50806;ACIDENTE;CHAPADÃO;DO;MS;BRASIL;****;SIM
51259;51259;INCIDENTE;BRASÍLIA;DF;SBBR;12/02/2014;14:25:00;0
51260;51260;INCIDENTE;BRASÍLIA;DF;SBBR;12/02/2014;14:10:00;0
51261;51261;INCIDENTE;UBERLÂNDIA;MG;SBUL;12/02/2014;12:52:00;0
51262;51262;INCIDENTE;POÇOS;DE;MG;BRASIL;SBPC;NÃO
51263;51263;INCIDENTE;MANAUS;AM;SBEG;12/02/2014;10:55:00;0
51055;51055;INCIDENTE;-44.4772222222;PARÁ;MINAS;MG;BRASIL;IG-032/CENIPA/2015
51071;51071;ACIDENTE;ARARAQUARA;SP;SBAQ;13/02/2014;17:45:00;0
51432;51432;ACIDENTE;GUARIBA;SP;****;13/02/2014;17:00:00;0
51264;51264;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
50807;50807;ACIDENTE;TRINDADE;GO;****;15/02/2014;11:30:00;0
50808;50808;ACIDENTE;BRAGANÇA;PA;****;15/02/2014;22:00:00;0
51019;51019;INCIDENTE;***;CABO;RJ;BRASIL;SBCB;SIM
51265;51265;INCIDENTE;BRASÍLIA;DF;SBBR;17/02/2014;17:45:00;0
51266;51266;INCIDENTE;BELO;HORIZONTE;BRASIL;SBPR;17/02/2014;NULL
